,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,lgcyViewCmplt
32,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'progDistColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
33,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyMembInvtView', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent'],,,,,,,,,,,,,,,,,,,,,,,,,,1
34,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
35,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
36,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
37,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
38,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,1
39,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete', 'simpDistInvtView', 'simpDistInvtIntent'],,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,1
41,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete', 'progDistColdIntent', 'progCustColdView', 'progCustColdIntent', 'progCustColdComplete', 'progCustInvtView', 'progCustInvtComplete'],,,,,,,,,,,,,,,,,,,,,,,1
42,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
43,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdIntent', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdComplete', 'simpCustColdView', 'simpCustColdIntent', 'simpMembColdView', 'simpMembColdIntent', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent', 'simpCustInvtLanding', 'simpCustInvtAccept', 'simpCustInvtView', 'simpCustInvtIntent', 'progDistColdIntent', 'progDistColdComplete', 'progCustColdView', 'progCustColdIntent', 'progCustColdComplete'],,1
44,['legacyDistColdView', 'legacyDistColdIntent', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'simpMembColdView', 'simpMembColdIntent', 'simpMembColdComplete', 'simpMembInvtLanding', 'simpMembInvtAccept', 'simpMembInvtView', 'simpMembInvtIntent', 'simpMembInvtComplete'],,,,,,,,,,,,,,,,,,,,,,,,1
45,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,1
